team_h,team_a,gol_h,gol_a,giornata
Verona,Roma,1,1,1
Juventus,Udinese,0,1,1
Fiorentina,Milan,2,0,1
Inter,Atalanta,1,0,1
Sampdoria,Carpi,5,2,1
Lazio,Bologna,2,1,1
Empoli ,Chievo Verona,1,3,1
Frosinone,Torino,1,2,1
Palermo,Genoa,1,0,1
Sassuolo,Napoli,2,1,1
Bologna,Sassuolo,0,1,2
Roma,Juventus,2,1,2
Carpi,Inter,1,2,2
Genoa,Verona,2,0,2
Torino,Fiorentina,3,1,2
Milan,Empoli ,2,1,2
Atalanta,Frosinone,2,0,2
Chievo Verona,Lazio,4,0,2
Napoli,Sampdoria,2,2,2
Udinese,Palermo,0,1,2
Fiorentina,Genoa,1,0,3
Juventus,Chievo Verona,1,1,3
Empoli ,Napoli,2,2,3
Sassuolo,Atalanta,2,2,3
Inter,Milan,1,0,3
Frosinone,Roma,0,2,3
Verona,Torino,2,2,3
Palermo,Carpi,2,2,3
Lazio,Udinese,2,0,3
Sampdoria,Bologna,2,0,3
Udinese,Empoli ,1,2,4
Chievo Verona,Inter,0,1,4
Bologna,Frosinone,1,0,4
Roma,Sassuolo,2,2,4
Carpi,Fiorentina,0,1,4
Milan,Palermo,3,2,4
Atalanta,Verona,1,1,4
Genoa,Juventus,0,2,4
Torino,Sampdoria,2,0,4
Napoli,Lazio,5,0,4
Udinese,Milan,2,3,5
Chievo Verona,Torino,1,0,5
Juventus,Frosinone,1,1,5
Palermo,Sassuolo,0,1,5
Fiorentina,Bologna,2,0,5
Carpi,Napoli,0,0,5
Inter,Verona,1,0,5
Lazio,Genoa,2,0,5
Sampdoria,Roma,2,1,5
Empoli ,Atalanta,0,1,5
Roma,Carpi,5,1,6
Genoa,Milan,1,0,6
Verona,Lazio,1,2,6
Torino,Palermo,2,1,6
Frosinone,Empoli ,2,0,6
Napoli,Juventus,2,1,6
Bologna,Udinese,1,2,6
Sassuolo,Chievo Verona,1,1,6
Inter,Fiorentina,1,4,6
Atalanta,Sampdoria,2,1,6
Carpi,Torino,2,1,7
Empoli ,Sassuolo,1,0,7
Sampdoria,Inter,1,1,7
Juventus,Bologna,3,1,7
Fiorentina,Atalanta,3,0,7
Chievo Verona,Verona,1,1,7
Palermo,Roma,2,4,7
Udinese,Genoa,1,1,7
Lazio,Frosinone,2,0,7
Milan,Napoli,0,4,7
Roma,Empoli ,3,1,8
Bologna,Palermo,0,1,8
Frosinone,Sampdoria,2,0,8
